Date,Open,High,Low,Close,Volume
2023-05-08,5730,5798,5712,5739,8361200
2023-05-02,5691,5711,5668,5693,4023400
2023-05-01,5788,5799,5656,5691,5363400
2023-04-28,5655,5721,5645,5721,5439300
2023-04-27,5594,5647,5577,5628,4188300
2023-04-26,5620,5642,5577,5618,4642500
2023-04-25,5590,5736,5566,5649,7607900
2023-04-24,5511,5604,5490,5591,4516600
2023-04-21,5531,5554,5506,5520,3606000
2023-04-20,5539,5539,5460,5516,4160400
2023-04-19,5541,5547,5511,5542,4440400
2023-04-18,5500,5560,5485,5560,5630300
2023-04-17,5499,5499,5423,5457,3467500
2023-04-14,5393,5480,5379,5467,5924400
2023-04-13,5431,5435,5376,5379,4182700
2023-04-12,5413,5488,5396,5466,5148200
2023-04-11,5505,5543,5407,5413,9397600
2023-04-10,5291,5410,5271,5406,7136300
2023-04-07,5325,5326,5187,5198,4302700
2023-04-06,5235,5297,5230,5250,4175400
2023-04-05,5363,5367,5241,5245,6830300
2023-04-04,5210,5414,5194,5412,10423400
2023-04-03,5209,5218,5150,5173,4140400
2023-03-31,5098,5141,5082,5131,4148100
2023-03-30,5100,5122,5066,5079,3668500
2023-03-29,5087,5181,5051,5179,5495300
2023-03-28,5115,5136,5074,5083,3167800
2023-03-27,5099,5131,5087,5095,2570100
2023-03-24,5079,5079,5031,5058,3528800
2023-03-23,5080,5088,5037,5076,3157600
2023-03-22,5041,5091,5011,5080,4871800
2023-03-20,5143,5146,5030,5033,4651500
2023-03-17,5122,5148,5093,5144,4791900
2023-03-16,5010,5087,4996,5075,4511500
2023-03-15,5034,5109,5034,5082,4393600
2023-03-14,5091,5091,5028,5065,4934100
2023-03-13,5112,5131,5097,5129,3586700
2023-03-10,5152,5181,5136,5148,5040700
2023-03-09,5160,5236,5159,5227,4169600
2023-03-08,5130,5183,5121,5158,3768500
2023-03-07,5182,5206,5167,5177,3147900
2023-03-06,5180,5215,5170,5178,3255300
2023-03-03,5101,5165,5093,5158,4696500
2023-03-02,5058,5141,5053,5136,4997600
2023-03-01,5097,5126,5041,5122,6107900
2023-02-28,5145,5187,5124,5124,6918600
2023-02-27,5200,5238,5183,5198,4848800
2023-02-24,5291,5313,5252,5297,4381800
2023-02-22,5389,5391,5312,5312,4503200
2023-02-21,5470,5480,5412,5412,3638900
2023-02-20,5498,5498,5419,5464,4224100
2023-02-17,5488,5499,5425,5456,4440300
2023-02-16,5432,5499,5391,5498,6867300
2023-02-15,5370,5374,5305,5336,4432200
2023-02-14,5230,5339,5230,5328,5742800
2023-02-13,5246,5257,5212,5224,7001000
2023-02-10,5290,5379,5281,5307,10996200
2023-02-09,5192,5292,5171,5279,14233000
2023-02-08,5280,5298,5146,5201,27112900
2023-02-07,5590,5644,5567,5624,4215900
2023-02-06,5630,5647,5616,5621,3580900
2023-02-03,5608,5627,5573,5622,3281200
2023-02-02,5596,5616,5571,5582,2751200
2023-02-01,5590,5623,5580,5580,2409900
2023-01-31,5680,5689,5615,5625,3547100
2023-01-30,5595,5622,5567,5598,3956900
2023-01-27,5660,5669,5617,5630,2678500
2023-01-26,5602,5660,5602,5635,3524000
2023-01-25,5567,5591,5545,5574,3152700
2023-01-24,5578,5613,5555,5556,3889900
2023-01-23,5551,5573,5512,5535,3268600
2023-01-20,5522,5582,5495,5510,3791600
2023-01-19,5550,5556,5498,5535,3101300
2023-01-18,5520,5627,5493,5608,5079100
2023-01-17,5413,5496,5413,5490,4018600
2023-01-16,5385,5470,5361,5413,4215300
2023-01-13,5381,5473,5381,5397,5983300
2023-01-12,5469,5488,5436,5447,7380700
2023-01-11,5497,5548,5482,5547,5320000
2023-01-10,5483,5565,5470,5470,5620700
2023-01-06,5466,5483,5407,5483,5181300
2023-01-05,5517,5603,5496,5530,4229200
2023-01-04,5444,5546,5405,5487,5632900
